DeveloperID%Name%Country%Founded%Website%EmployeeCount
1%Hall Inc%Tanzania%2024-09-25%http://www.yahoo.com%145
2%Baker and Sons%Argentina%2024-09-20%http://www.example.com%420
3%Jackson Inc%Jordan%2024-09-20%http://www.privacy.net%155
4%Clark and Sons%New Zealand%2024-09-24%http://www.yahoo.com%300
5%Brown Group%Bhutan%2024-09-21%http://www.yahoo.com%321
6%Walker Group%Philippines%2024-09-21%http://www.yahoo.com%820
7%Hall Inc%Congo, Rep.%2024-09-22%http://www.yahoo.com%31
8%Washington LLC%Belize%2024-09-19%http://www.example.com%817
9%Walker Inc%American Samoa%2024-09-26%http://www.msn.com%999
10%Lake and Sons%Lithuania%2024-09-25%http://www.example.com%765
11%Jefferson and Sons%Paraguay%2024-09-24%http://www.yahoo.com%473
12%Wilson Inc%Singapore%2024-09-25%http://www.gmail.com%484
13%Robinson Inc%Bermuda%2024-09-21%http://www.yahoo.com%251
14%Jefferson Group%Malaysia%2024-09-22%http://www.msn.com%993
15%Burrows Group%Micronesia, Fed. Sts.%2024-09-23%http://www.webmail.com%188
16%Robertson and Sons%Lesotho%2024-09-26%http://www.example.com%656
17%Davis Group%Singapore%2024-09-24%http://www.privacy.net%746
18%Robertson and Sons%United States%2024-09-22%http://www.example.com%582
19%Davis Group%Vanuatu%2024-09-26%http://www.yahoo.com%607
20%Grant Group%Honduras%2024-09-23%http://www.example.com%582
21%Jones Group%Iceland%2024-09-23%http://www.hotmail.com%691
22%Kirk Inc%Cyprus%2024-09-21%http://www.gmail.com%664
23%Anthony and Sons%Cayman Islands%2024-09-20%http://www.privacy.net%340
24%Baker and Sons%Lesotho%2024-09-24%http://www.webmail.com%662
25%Clark LLC%Greenland%2024-09-20%http://www.privacy.net%941
26%Taylor LLC%Congo, Dem. Rep.%2024-09-25%http://www.example.com%470
27%Garcia LLC%Mozambique%2024-09-23%http://www.hotmail.com%808
28%Taylor Group%Uganda%2024-09-24%http://www.msn.com%839
29%Andrews Inc%Ghana%2024-09-21%http://www.privacy.net%199
30%Clarke LLC%Liechtenstein%2024-09-25%http://www.yahoo.com%343
31%Peterson Group%Ethiopia%2024-09-19%http://www.webmail.com%177
32%Jeffries and Sons%Dominican Republic%2024-09-21%http://www.webmail.com%273
33%Peters and Sons%Oman%2024-09-21%http://www.privacy.net%232
34%Oates and Sons%Papua New Guinea%2024-09-26%http://www.privacy.net%652
35%Thompson and Sons%Thailand%2024-09-22%http://www.webmail.com%764
36%Rodriguez LLC%Malaysia%2024-09-22%http://www.gmail.com%845
37%Walker Group%Tunisia%2024-09-20%http://www.msn.com%530
